Municipios;Sexo;Periodo;Total
08154 Pacs del Penedès;Total;2023;909
08155 Palafolls;Total;2023;9.819
08156 Palau-solità i Plegamans;Total;2023;15.130
08157 Pallejà;Total;2023;11.736
08905 Palma de Cervelló, La;Total;2023;3.040
08158 Papiol, El;Total;2023;4.325
08159 Parets del Vallès;Total;2023;18.893
08160 Perafita;Total;2023;423
08161 Piera;Total;2023;17.203
08163 Pineda de Mar;Total;2023;28.751
08164 Pla del Penedès, El;Total;2023;1.317
08165 Pobla de Claramunt, La;Total;2023;2.309
08166 Pobla de Lillet, La;Total;2023;1.089
08167 Polinyà;Total;2023;8.482
08182 Pont de Vilomara i Rocafort, El;Total;2023;4.101
08168 Pontons;Total;2023;523
08169 Prat de Llobregat, El;Total;2023;65.516
08171 Prats de Lluçanès;Total;2023;2.681
08170 Prats de Rei, Els;Total;2023;558
08230 Premià de Dalt;Total;2023;10.532
08172 Premià de Mar;Total;2023;28.767
08174 Puigdàlber;Total;2023;571
08175 Puig-reig;Total;2023;4.399
08176 Pujalt;Total;2023;219
08177 Quar, La;Total;2023;40
08178 Rajadell;Total;2023;571
08179 Rellinars;Total;2023;923
08180 Ripollet;Total;2023;39.269
08181 Roca del Vallès, La;Total;2023;10.913
08183 Roda de Ter;Total;2023;6.680
08184 Rubí;Total;2023;80.044
08185 Rubió;Total;2023;254
08901 Rupit i Pruit;Total;2023;277
08187 Sabadell;Total;2023;218.300
08188 Sagàs;Total;2023;151
08190 Saldes;Total;2023;303
08191 Sallent;Total;2023;6.835
08194 Sant Adrià de Besòs;Total;2023;37.925
08195 Sant Agustí de Lluçanès;Total;2023;109
08196 Sant Andreu de la Barca;Total;2023;26.910
08197 Sant Andreu de Llavaneres;Total;2023;11.831
08198 Sant Antoni de Vilamajor;Total;2023;6.577
08199 Sant Bartomeu del Grau;Total;2023;945
08200 Sant Boi de Llobregat;Total;2023;83.919
08201 Sant Boi de Lluçanès;Total;2023;572
08203 Sant Cebrià de Vallalta;Total;2023;3.792
08202 Sant Celoni;Total;2023;18.479
08204 Sant Climent de Llobregat;Total;2023;4.190
08205 Sant Cugat del Vallès;Total;2023;97.530
08206 Sant Cugat Sesgarrigues;Total;2023;1.026
08207 Sant Esteve de Palautordera;Total;2023;3.045
08208 Sant Esteve Sesrovires;Total;2023;7.906
08210 Sant Feliu de Codines;Total;2023;6.527
08211 Sant Feliu de Llobregat;Total;2023;46.056
08212 Sant Feliu Sasserra;Total;2023;620
08209 Sant Fost de Campsentelles;Total;2023;9.197
08213 Sant Fruitós de Bages;Total;2023;9.156
08215 Sant Hipòlit de Voltregà;Total;2023;3.711
08193 Sant Iscle de Vallalta;Total;2023;1.441
08216 Sant Jaume de Frontanyà;Total;2023;29
08218 Sant Joan de Vilatorrada;Total;2023;10.959
08217 Sant Joan Despí;Total;2023;34.568
08903 Sant Julià de Cerdanyola;Total;2023;242
08220 Sant Julià de Vilatorta;Total;2023;3.230
08221 Sant Just Desvern;Total;2023;20.462
08222 Sant Llorenç d'Hortons;Total;2023;2.572
08223 Sant Llorenç Savall;Total;2023;2.545
08225 Sant Martí d'Albars;Total;2023;121
08224 Sant Martí de Centelles;Total;2023;1.247
08226 Sant Martí de Tous;Total;2023;1.268
08227 Sant Martí Sarroca;Total;2023;3.380
08228 Sant Martí Sesgueioles;Total;2023;359
08229 Sant Mateu de Bages;Total;2023;633
08231 Sant Pere de Ribes;Total;2023;31.786
08232 Sant Pere de Riudebitlles;Total;2023;2.462
08233 Sant Pere de Torelló;Total;2023;2.568
08234 Sant Pere de Vilamajor;Total;2023;4.862
08189 Sant Pere Sallavinera;Total;2023;162
08235 Sant Pol de Mar;Total;2023;5.791
08236 Sant Quintí de Mediona;Total;2023;2.407
08237 Sant Quirze de Besora;Total;2023;2.115
08238 Sant Quirze del Vallès;Total;2023;20.241
08239 Sant Quirze Safaja;Total;2023;677
08240 Sant Sadurní d'Anoia;Total;2023;12.945
08241 Sant Sadurní d'Osormort;Total;2023;89
08098 Sant Salvador de Guardiola;Total;2023;3.430
08262 Sant Vicenç de Castellet;Total;2023;10.068
08264 Sant Vicenç de Montalt;Total;2023;6.701
08265 Sant Vicenç de Torelló;Total;2023;2.083
08263 Sant Vicenç dels Horts;Total;2023;28.406
08243 Santa Cecília de Voltregà;Total;2023;184
08244 Santa Coloma de Cervelló;Total;2023;8.393
08245 Santa Coloma de Gramenet;Total;2023;119.862
08246 Santa Eugènia de Berga;Total;2023;2.303
08247 Santa Eulàlia de Riuprimer;Total;2023;1.450
08248 Santa Eulàlia de Ronçana;Total;2023;7.846
08249 Santa Fe del Penedès;Total;2023;362
08250 Santa Margarida de Montbui;Total;2023;10.456
08251 Santa Margarida i els Monjos;Total;2023;7.650
08253 Santa Maria de Besora;Total;2023;165
08256 Santa Maria de Martorelles;Total;2023;881
08255 Santa Maria de Merlès;Total;2023;174
08257 Santa Maria de Miralles;Total;2023;138
08259 Santa Maria de Palautordera;Total;2023;9.872
08258 Santa Maria d'Oló;Total;2023;1.086
08260 Santa Perpètua de Mogoda;Total;2023;25.928
08261 Santa Susanna;Total;2023;3.887
08192 Santpedor;Total;2023;7.693
08267 Sentmenat;Total;2023;9.474
08269 Seva;Total;2023;3.770
08270 Sitges;Total;2023;31.954
08271 Sobremunt;Total;2023;86
08272 Sora;Total;2023;217
08273 Subirats;Total;2023;3.243
08274 Súria;Total;2023;6.046
08276 Tagamanent;Total;2023;344
08277 Talamanca;Total;2023;223
08278 Taradell;Total;2023;6.809
08275 Tavèrnoles;Total;2023;340
08280 Tavertet;Total;2023;126
08281 Teià;Total;2023;6.696
08279 Terrassa;Total;2023;225.277
08282 Tiana;Total;2023;9.198
08283 Tona;Total;2023;8.455
08284 Tordera;Total;2023;18.409
08285 Torelló;Total;2023;14.902
08286 Torre de Claramunt, La;Total;2023;4.018
08287 Torrelavit;Total;2023;1.499
08288 Torrelles de Foix;Total;2023;2.608
08289 Torrelles de Llobregat;Total;2023;6.225
08290 Ullastrell;Total;2023;2.162
08291 Vacarisses;Total;2023;7.460
08292 Vallbona d'Anoia;Total;2023;1.428
08293 Vallcebre;Total;2023;273
