Municipios;Sexo;Periodo;Total
10160 Romangordo;Total;2023;246
10901 Rosalejo;Total;2023;1.326
10161 Ruanes;Total;2023;75
10162 Salorino;Total;2023;538
10163 Salvatierra de Santiago;Total;2023;257
10164 San Martín de Trevejo;Total;2023;723
10165 Santa Ana;Total;2023;301
10166 Santa Cruz de la Sierra;Total;2023;319
10167 Santa Cruz de Paniagua;Total;2023;280
10168 Santa Marta de Magasca;Total;2023;284
10169 Santiago de Alcántara;Total;2023;475
10170 Santiago del Campo;Total;2023;245
10171 Santibáñez el Alto;Total;2023;361
10172 Santibáñez el Bajo;Total;2023;713
10173 Saucedilla;Total;2023;947
10174 Segura de Toro;Total;2023;181
10175 Serradilla;Total;2023;1.493
10176 Serrejón;Total;2023;405
10177 Sierra de Fuentes;Total;2023;2.020
10178 Talaván;Total;2023;776
10179 Talaveruela de la Vera;Total;2023;302
10180 Talayuela;Total;2023;7.273
10181 Tejeda de Tiétar;Total;2023;763
10904 Tiétar;Total;2023;844
10182 Toril;Total;2023;164
10183 Tornavacas;Total;2023;985
10184 Torno, El;Total;2023;838
10187 Torre de Don Miguel;Total;2023;483
10188 Torre de Santa María;Total;2023;529
10185 Torrecilla de los Ángeles;Total;2023;662
10186 Torrecillas de la Tiesa;Total;2023;1.050
10190 Torrejón el Rubio;Total;2023;519
10189 Torrejoncillo;Total;2023;2.819
10191 Torremenga;Total;2023;611
10192 Torremocha;Total;2023;739
10193 Torreorgaz;Total;2023;1.682
10194 Torrequemada;Total;2023;567
10195 Trujillo;Total;2023;8.605
10196 Valdastillas;Total;2023;311
10197 Valdecañas de Tajo;Total;2023;109
10198 Valdefuentes;Total;2023;1.104
10199 Valdehúncar;Total;2023;194
10200 Valdelacasa de Tajo;Total;2023;339
10201 Valdemorales;Total;2023;215
10202 Valdeobispo;Total;2023;636
10203 Valencia de Alcántara;Total;2023;5.236
10204 Valverde de la Vera;Total;2023;467
10205 Valverde del Fresno;Total;2023;2.106
10902 Vegaviana;Total;2023;848
10206 Viandar de la Vera;Total;2023;225
10207 Villa del Campo;Total;2023;438
10208 Villa del Rey;Total;2023;116
10209 Villamesías;Total;2023;276
10210 Villamiel;Total;2023;379
10211 Villanueva de la Sierra;Total;2023;496
10212 Villanueva de la Vera;Total;2023;2.087
10214 Villar de Plasencia;Total;2023;230
10213 Villar del Pedroso;Total;2023;548
10215 Villasbuenas de Gata;Total;2023;383
10216 Zarza de Granadilla;Total;2023;1.799
10217 Zarza de Montánchez;Total;2023;515
10218 Zarza la Mayor;Total;2023;1.134
10219 Zorita;Total;2023;1.267
