Provincias;Municipios;Sexo;Periodo;Total
03 Alicante/Alacant;03105 Pinós, el/Pinoso;Total;2023;8.281
03 Alicante/Alacant;03106 Planes;Total;2023;699
03 Alicante/Alacant;03042 Poble Nou de Benitatxell, el/Benitachell;Total;2023;4.858
03 Alicante/Alacant;03901 Poblets, els;Total;2023;2.763
03 Alicante/Alacant;03107 Polop;Total;2023;5.339
03 Alicante/Alacant;03060 Quatretondeta;Total;2023;136
03 Alicante/Alacant;03109 Rafal;Total;2023;4.800
03 Alicante/Alacant;03110 Ràfol d'Almúnia, el;Total;2023;721
03 Alicante/Alacant;03111 Redován;Total;2023;8.183
03 Alicante/Alacant;03112 Relleu;Total;2023;1.248
03 Alicante/Alacant;03113 Rojales;Total;2023;17.451
03 Alicante/Alacant;03114 Romana, la;Total;2023;2.632
03 Alicante/Alacant;03115 Sagra;Total;2023;442
03 Alicante/Alacant;03116 Salinas;Total;2023;1.733
03 Alicante/Alacant;03118 San Fulgencio;Total;2023;9.443
03 Alicante/Alacant;03904 San Isidro;Total;2023;2.208
03 Alicante/Alacant;03120 San Miguel de Salinas;Total;2023;6.798
03 Alicante/Alacant;03117 Sanet y Negrals;Total;2023;737
03 Alicante/Alacant;03119 Sant Joan d'Alacant;Total;2023;25.275
03 Alicante/Alacant;03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Total;2023;59.928
03 Alicante/Alacant;03121 Santa Pola;Total;2023;37.816
03 Alicante/Alacant;03123 Sax;Total;2023;10.072
03 Alicante/Alacant;03124 Sella;Total;2023;607
03 Alicante/Alacant;03125 Senija;Total;2023;670
03 Alicante/Alacant;03127 Tàrbena;Total;2023;630
03 Alicante/Alacant;03128 Teulada;Total;2023;12.515
03 Alicante/Alacant;03129 Tibi;Total;2023;1.808
03 Alicante/Alacant;03130 Tollos;Total;2023;40
03 Alicante/Alacant;03131 Tormos;Total;2023;339
03 Alicante/Alacant;03132 Torre de les Maçanes, la/Torremanzanas;Total;2023;714
03 Alicante/Alacant;03133 Torrevieja;Total;2023;89.290
03 Alicante/Alacant;03134 Vall d'Alcalà, la;Total;2023;174
03 Alicante/Alacant;03136 Vall de Gallinera, la;Total;2023;581
03 Alicante/Alacant;03137 Vall de Laguar, la;Total;2023;873
03 Alicante/Alacant;03135 Vall d'Ebo, la;Total;2023;230
03 Alicante/Alacant;03138 Verger, el;Total;2023;5.101
03 Alicante/Alacant;03139 Vila Joiosa, la/Villajoyosa;Total;2023;36.093
03 Alicante/Alacant;03140 Villena;Total;2023;34.144
03 Alicante/Alacant;03082 Xàbia/Jávea;Total;2023;29.760
03 Alicante/Alacant;03081 Xaló;Total;2023;2.964
03 Alicante/Alacant;03083 Xixona/Jijona;Total;2023;7.032
