Provincias;Municipios;Sexo;Periodo;Total
12 Castellón/Castelló;12110 Teresa;Total;2023;250
12 Castellón/Castelló;12111 Tírig;Total;2023;430
12 Castellón/Castelló;12112 Todolella;Total;2023;144
12 Castellón/Castelló;12113 Toga;Total;2023;112
12 Castellón/Castelló;12114 Torás;Total;2023;256
12 Castellón/Castelló;12115 Toro, El;Total;2023;248
12 Castellón/Castelló;12116 Torralba del Pinar;Total;2023;69
12 Castellón/Castelló;12119 Torre d'en Besora, la;Total;2023;164
12 Castellón/Castelló;12120 Torre d'en Doménec, la;Total;2023;175
12 Castellón/Castelló;12117 Torreblanca;Total;2023;5.630
12 Castellón/Castelló;12118 Torrechiva;Total;2023;114
12 Castellón/Castelló;12121 Traiguera;Total;2023;1.336
12 Castellón/Castelló;12122 Useres, les/Useras;Total;2023;985
12 Castellón/Castelló;12124 Vall d'Alba;Total;2023;3.054
12 Castellón/Castelló;12125 Vall de Almonacid;Total;2023;286
12 Castellón/Castelló;12126 Vall d'Uixó, la;Total;2023;31.611
12 Castellón/Castelló;12123 Vallat;Total;2023;66
12 Castellón/Castelló;12127 Vallibona;Total;2023;62
12 Castellón/Castelló;12128 Vilafamés;Total;2023;1.915
12 Castellón/Castelló;12129 Vilafranca/Villafranca del Cid;Total;2023;2.148
12 Castellón/Castelló;12132 Vilanova d'Alcolea;Total;2023;575
12 Castellón/Castelló;12134 Vilar de Canes;Total;2023;159
12 Castellón/Castelló;12135 Vila-real;Total;2023;51.852
12 Castellón/Castelló;12136 Vilavella, la;Total;2023;3.074
12 Castellón/Castelló;12130 Villahermosa del Río;Total;2023;488
12 Castellón/Castelló;12131 Villamalur;Total;2023;95
12 Castellón/Castelló;12133 Villanueva de Viver;Total;2023;110
12 Castellón/Castelló;12137 Villores;Total;2023;54
12 Castellón/Castelló;12138 Vinaròs;Total;2023;29.686
12 Castellón/Castelló;12139 Vistabella del Maestrat;Total;2023;369
12 Castellón/Castelló;12140 Viver;Total;2023;1.683
12 Castellón/Castelló;12052 Xert;Total;2023;686
12 Castellón/Castelló;12055 Xodos/Chodos;Total;2023;117
12 Castellón/Castelló;12141 Zorita del Maestrazgo;Total;2023;117
12 Castellón/Castelló;12142 Zucaina;Total;2023;176
