Provincias;Municipios;Sexo;Periodo;Total
43 Tarragona;43114 Porrera;Total;2023;435
43 Tarragona;43115 Pradell de la Teixeta;Total;2023;171
43 Tarragona;43116 Prades;Total;2023;656
43 Tarragona;43117 Prat de Comte;Total;2023;188
43 Tarragona;43118 Pratdip;Total;2023;723
43 Tarragona;43119 Puigpelat;Total;2023;1.215
43 Tarragona;43120 Querol;Total;2023;584
43 Tarragona;43136 Ràpita, La;Total;2023;15.046
43 Tarragona;43121 Rasquera;Total;2023;804
43 Tarragona;43122 Renau;Total;2023;158
43 Tarragona;43123 Reus;Total;2023;108.479
43 Tarragona;43124 Riba, La;Total;2023;572
43 Tarragona;43125 Riba-roja d'Ebre;Total;2023;1.150
43 Tarragona;43126 Riera de Gaià, La;Total;2023;1.778
43 Tarragona;43127 Riudecanyes;Total;2023;1.349
43 Tarragona;43128 Riudecols;Total;2023;1.211
43 Tarragona;43129 Riudoms;Total;2023;6.810
43 Tarragona;43130 Rocafort de Queralt;Total;2023;243
43 Tarragona;43131 Roda de Berà;Total;2023;7.829
43 Tarragona;43132 Rodonyà;Total;2023;526
43 Tarragona;43133 Roquetes;Total;2023;8.302
43 Tarragona;43134 Rourell, El;Total;2023;385
43 Tarragona;43135 Salomó;Total;2023;542
43 Tarragona;43905 Salou;Total;2023;30.224
43 Tarragona;43137 Sant Jaume dels Domenys;Total;2023;2.785
43 Tarragona;43902 Sant Jaume d'Enveja;Total;2023;3.661
43 Tarragona;43138 Santa Bàrbara;Total;2023;3.758
43 Tarragona;43139 Santa Coloma de Queralt;Total;2023;2.805
43 Tarragona;43140 Santa Oliva;Total;2023;3.657
43 Tarragona;43142 Sarral;Total;2023;1.606
43 Tarragona;43143 Savallà del Comtat;Total;2023;53
43 Tarragona;43144 Secuita, La;Total;2023;1.800
43 Tarragona;43145 Selva del Camp, La;Total;2023;5.736
43 Tarragona;43146 Senan;Total;2023;44
43 Tarragona;43044 Sénia, La;Total;2023;5.623
43 Tarragona;43147 Solivella;Total;2023;629
43 Tarragona;43148 Tarragona;Total;2023;138.262
43 Tarragona;43149 Tivenys;Total;2023;915
43 Tarragona;43150 Tivissa;Total;2023;1.635
43 Tarragona;43151 Torre de Fontaubella, La;Total;2023;120
43 Tarragona;43152 Torre de l'Espanyol, La;Total;2023;619
43 Tarragona;43153 Torredembarra;Total;2023;17.670
43 Tarragona;43154 Torroja del Priorat;Total;2023;139
43 Tarragona;43155 Tortosa;Total;2023;34.639
43 Tarragona;43156 Ulldecona;Total;2023;6.417
43 Tarragona;43157 Ulldemolins;Total;2023;418
43 Tarragona;43158 Vallclara;Total;2023;95
43 Tarragona;43159 Vallfogona de Riucorb;Total;2023;93
43 Tarragona;43160 Vallmoll;Total;2023;1.942
43 Tarragona;43161 Valls;Total;2023;25.014
43 Tarragona;43162 Vandellòs i l'Hospitalet de l'Infant;Total;2023;6.984
43 Tarragona;43163 Vendrell, El;Total;2023;39.601
43 Tarragona;43164 Vespella de Gaià;Total;2023;494
43 Tarragona;43165 Vilabella;Total;2023;723
43 Tarragona;43175 Vilalba dels Arcs;Total;2023;619
43 Tarragona;43166 Vilallonga del Camp;Total;2023;2.423
43 Tarragona;43168 Vilanova de Prades;Total;2023;113
43 Tarragona;43167 Vilanova d'Escornalbou;Total;2023;594
43 Tarragona;43169 Vilaplana;Total;2023;552
43 Tarragona;43170 Vila-rodona;Total;2023;1.362
43 Tarragona;43171 Vila-seca;Total;2023;23.176
43 Tarragona;43172 Vilaverd;Total;2023;477
43 Tarragona;43173 Vilella Alta, La;Total;2023;128
43 Tarragona;43174 Vilella Baixa, La;Total;2023;197
43 Tarragona;43176 Vimbodí i Poblet;Total;2023;900
43 Tarragona;43177 Vinebre;Total;2023;415
43 Tarragona;43178 Vinyols i els Arcs;Total;2023;2.323
43 Tarragona;43052 Xerta;Total;2023;1.164
